,image,image_cat_score,participant,category,description,question,context_justification,reactionTime
0,images/health/5.png,39,#NAME?,health,a woman kiteboarding in the ocean,Why is she kiteboarding?,To show what you can do when you're healthy,8.4452
1,images/health/5.png,39,#NAME?,health,a woman kiteboarding in the ocean,Is she able-bodied?,To show what you can do when you're healthy,8.4452
2,images/social_media/5.png,62.125,#NAME?,news,the women's soccer team,Did they win?,To show the victors of a recent sporting event.,8.4452
3,images/social_media/5.png,62.125,#NAME?,news,the women's soccer team,Is this a photograph of them while playing or is this a more organized picture?,To show the victors of a recent sporting event.,8.4452
4,images/travel/5.png,53.16666667,#NAME?,social_media,a woman walking down a street with her suitcase,Where is she?,Someone that I know posted the image,8.4452
5,images/travel/5.png,53.16666667,#NAME?,social_media,a woman walking down a street with her suitcase,Is she walking calmly or is she in a hurry?,Someone that I know posted the image,8.4452
6,images/travel/6.png,49.6,#NAME?,travel,a bowl of noodles with vegetables,What type of dish is it?,To show a variety of foods you can eat while traveling ,8.4452
7,images/travel/6.png,49.6,#NAME?,travel,a bowl of noodles with vegetables,Is there meat in it?,To show a variety of foods you can eat while traveling ,8.4452
8,images/science_journals/4.png,57.33333333,#NAME?,science_journals,a boat with a crab in it,Are the crabs in a container?,"To show a process, like fishing or collecting items. ",8.4452
9,images/science_journals/4.png,57.33333333,#NAME?,science_journals,a boat with a crab in it,What kind of boat is it?,"To show a process, like fishing or collecting items. ",8.4452
10,images/shopping/3.png,31,#NAME?,shopping,a man with a beard sitting on a rock near,What is the man wearing? ,To show the merchandise of the website,8.4452
11,images/shopping/3.png,31,#NAME?,shopping,a man with a beard sitting on a rock near,What color are the things he is wearing?,To show the merchandise of the website,8.4452
12,images/travel/5.png,53.16666667,#NAME?,social_media,a woman walking down a street with her suitcase,Why does she have a suitcase with her?,Why does she have a suitcase with her?,5.036216667
13,images/travel/5.png,53.16666667,#NAME?,social_media,a woman walking down a street with her suitcase,What does the street look like?,Why does she have a suitcase with her?,5.036216667
14,images/social_media/7.png,80.5,#NAME?,science_journals,a man in a black shirt standing in front of,What is he standing in front of?,What is the man look at in the distance?,5.036216667
15,images/social_media/7.png,80.5,#NAME?,science_journals,a man in a black shirt standing in front of,Is the man only standing there?,What is the man look at in the distance?,5.036216667
16,images/travel/2.png,86.75,#NAME?,travel,a scuba diver in the ocean,What is near the scuba diver?,Where is the scuba diver diving?,5.036216667
17,images/travel/2.png,86.75,#NAME?,travel,a scuba diver in the ocean,What colors can be observed?,Where is the scuba diver diving?,5.036216667
18,images/science_journals/1.png,51.5,#NAME?,health,a building that has been destroyed,How did the building get destroyed?,What caused the building to collapse?,5.036216667
19,images/science_journals/1.png,51.5,#NAME?,health,a building that has been destroyed,Were there people inside the building?,What caused the building to collapse?,5.036216667
20,images/science_journals/4.png,51.66666667,#NAME?,news,a boat with a crab in it,What kind of crabs do they have?,What are they lifting out of the water?,5.036216667
21,images/science_journals/4.png,51.66666667,#NAME?,news,a boat with a crab in it,What kind of boat is it?,What are they lifting out of the water?,5.036216667
22,images/shopping/4.png,43.75,#NAME?,shopping,the pool at the holiday inn in san diego,Are people in the pool?,Why am I looking at a hotel swimming pool?,5.036216667
23,images/shopping/4.png,43.75,#NAME?,shopping,the pool at the holiday inn in san diego,How deep is the pool?,Why am I looking at a hotel swimming pool?,5.036216667
24,images/health/2.png,90.75,#NAME?,travel,a woman running on a mountain,What kind of clothes are they wearing?,To show the unique places you can travel to.,7.688583333
25,images/health/2.png,90.75,#NAME?,travel,a woman running on a mountain,What is the weather on the mountain,To show the unique places you can travel to.,7.688583333
26,images/science_journals/5.png,61.33333333,#NAME?,science_journals,people fishing in the river,How many people are fishing?,There is a piece about fishing/fish and ecology.,7.688583333
27,images/science_journals/5.png,61.33333333,#NAME?,science_journals,people fishing in the river,What does the environment around them look like?,There is a piece about fishing/fish and ecology.,7.688583333
28,images/health/5.png,39,#NAME?,health,a woman kiteboarding in the ocean,Does she look like she is having fun?,Outdoor activities are good for health.,7.688583333
29,images/health/5.png,39,#NAME?,health,a woman kiteboarding in the ocean,Is it being used to promote health?,Outdoor activities are good for health.,7.688583333
30,images/shopping/6.png,62.14285714,#NAME?,social_media,a snowboarder standing on a snow covered hill,Is he looking at something specific?,Inspire people to post their activities like snowboarding.,7.688583333
31,images/shopping/6.png,62.14285714,#NAME?,social_media,a snowboarder standing on a snow covered hill,Is he doing something related to social media?,Inspire people to post their activities like snowboarding.,7.688583333
32,images/travel/5.png,56.5,#NAME?,shopping,a woman walking down a street with her suitcase,Is the advertisement for luggage?,To show how their products look good around the world.,7.688583333
33,images/travel/5.png,56.5,#NAME?,shopping,a woman walking down a street with her suitcase,Is she going shopping?,To show how their products look good around the world.,7.688583333
34,images/science_journals/4.png,51.66666667,#NAME?,news,a boat with a crab in it,Why is there a crab in the boat?,Something happening in a local body of water related to fishing.,7.688583333
35,images/science_journals/4.png,51.66666667,#NAME?,news,a boat with a crab in it,Is there something wrong with the crabs?,Something happening in a local body of water related to fishing.,7.688583333
36,images/health/2.png,90.75,#NAME?,travel,a woman running on a mountain,What kind of person is the woman?,Some people travel to great hiking locations. ,8.700066667
37,images/health/2.png,90.75,#NAME?,travel,a woman running on a mountain,What kind of mountain is she running on?,Some people travel to great hiking locations. ,8.700066667
38,images/travel/4.png,62,#NAME?,social_media,a skier on a mountain,Are they by themselves?,People who ski like to connect with other skiers.,8.700066667
39,images/travel/4.png,62,#NAME?,social_media,a skier on a mountain,What are they wearing?,People who ski like to connect with other skiers.,8.700066667
40,images/travel/7.png,58.5,#NAME?,news,a woman taking a picture of a narrow alley,Is the alley clean?,There are issues with small alley ways.,8.700066667
41,images/travel/7.png,58.5,#NAME?,news,a woman taking a picture of a narrow alley,Is there anything blocking the alley?,There are issues with small alley ways.,8.700066667
42,images/science_journals/7.png,3.5,#NAME?,science_journals,a street sign that says the olde street,Is it a city street or a neighborhood street?,Science issues affecting homes. ,8.700066667
43,images/science_journals/7.png,3.5,#NAME?,science_journals,a street sign that says the olde street,Is it night or day time?,Science issues affecting homes. ,8.700066667
44,images/science_journals/3.png,37.2,#NAME?,science_journals,a concert hall filled with plants,Are there any people? ,A discussion about plants indoors,9.486566667
45,images/science_journals/3.png,37.2,#NAME?,science_journals,a concert hall filled with plants,where are the plants?,A discussion about plants indoors,9.486566667
46,images/travel/4.png,62,#NAME?,social_media,a skier on a mountain,is the skier alone?,Skiing might be a good place to make connections,9.486566667
47,images/travel/4.png,62,#NAME?,social_media,a skier on a mountain,Is he skiing or just waiting?,Skiing might be a good place to make connections,9.486566667
48,images/news_journals/25.png,36.25,#NAME?,news,a group of people sitting at a table,Are they talking? ,There may be an article discussing cultures or something? ,9.486566667
49,images/news_journals/25.png,36.25,#NAME?,news,a group of people sitting at a table,Are they eating? ,There may be an article discussing cultures or something? ,9.486566667
50,images/travel/5.png,56.5,#NAME?,shopping,a woman walking down a street with her suitcase,Is she a tourist?,This shopping place is good for travelers,9.486566667
51,images/travel/5.png,56.5,#NAME?,shopping,a woman walking down a street with her suitcase,Is she missing something that she is now shopping for?,This shopping place is good for travelers,9.486566667
52,images/science_journals/2.png,62.83333333,#NAME?,health,a man and woman in wetsuits,Are they on a beach> ,"Snorkeling, surfing, ect is good for health ",9.486566667
53,images/science_journals/2.png,62.83333333,#NAME?,health,a man and woman in wetsuits,Are they doing any activity ,"Snorkeling, surfing, ect is good for health ",9.486566667
54,images/social_media/5.png,62.125,#NAME?,news,the women's soccer team,What colors are the team wearing?,A picture of a team that have won an award.,11.29085
55,images/social_media/5.png,62.125,#NAME?,news,the women's soccer team,What medal did they receive?,A picture of a team that have won an award.,11.29085
56,images/science_journals/1.png,48.5,#NAME?,science_journals,a building that has been destroyed,How large of a building was destroyed?,The image may be to show a disaster scene before cleanup.,11.29085
57,images/science_journals/1.png,48.5,#NAME?,science_journals,a building that has been destroyed,Where is the building located?,The image may be to show a disaster scene before cleanup.,11.29085
58,images/shopping/3.png,51.28571429,#NAME?,social_media,a man with a beard sitting on a rock near,What is the man doing?,The picture is showing a generic man that could be on the website.,11.29085
59,images/shopping/3.png,51.28571429,#NAME?,social_media,a man with a beard sitting on a rock near,Is the man doing anything besides sitting?,The picture is showing a generic man that could be on the website.,11.29085
60,images/travel/4.png,59,#NAME?,health,a skier on a mountain,What is the skier wearing?,The image is showing someone participating in a sport that might be dangerous.,11.29085
61,images/travel/4.png,59,#NAME?,health,a skier on a mountain,Is this at a resort?,The image is showing someone participating in a sport that might be dangerous.,11.29085
62,images/travel/2.png,86.75,#NAME?,travel,a scuba diver in the ocean,What sea creatures are visible?,The image shows someone scuba diving.,11.29085
63,images/travel/2.png,86.75,#NAME?,travel,a scuba diver in the ocean,Why is the person scuba diving?,The image shows someone scuba diving.,11.29085
64,images/travel/5.png,56.5,#NAME?,shopping,a woman walking down a street with her suitcase,what type of items are for sale?,The image of of someone shopping in the store.,11.29085
65,images/travel/5.png,56.5,#NAME?,shopping,a woman walking down a street with her suitcase,Where is the store located?,The image of of someone shopping in the store.,11.29085
66,images/science_journals/2.png,41.83333333,#NAME?,science_journals,a man and woman in wetsuits,the place where the picture is?,researchers being pictured for the article,13.7704
67,images/science_journals/2.png,41.83333333,#NAME?,science_journals,a man and woman in wetsuits,why they picture was made?,researchers being pictured for the article,13.7704
,,,,,,,,
,,,,,,,,
70,images/news_journals/25.png,36.25,#NAME?,news,a group of people sitting at a table,where is the location?,closely gathered people sharing a moment ,13.7704
71,images/news_journals/25.png,36.25,#NAME?,news,a group of people sitting at a table,who is the central focus character?,closely gathered people sharing a moment ,13.7704
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
78,images/science_journals/5.png,87.5,#NAME?,travel,people fishing in the river,How many people?,Advertising services for planning a fishing trip,6.96435
79,images/science_journals/5.png,87.5,#NAME?,travel,people fishing in the river,How big is the river?,Advertising services for planning a fishing trip,6.96435
80,images/shopping/4.png,50.75,#NAME?,social_media,the pool at the holiday inn in san diego,Is the pool indoors or outdoors?,A friend sharing a picture of their vacation at a hotel,6.96435
81,images/shopping/4.png,50.75,#NAME?,social_media,the pool at the holiday inn in san diego,Are there people in the pool?,A friend sharing a picture of their vacation at a hotel,6.96435
82,images/social_media/7.png,68.25,#NAME?,news,a man in a black shirt standing in front of,What is the man standing in front of?,An article about something notable that this person has accomplished,6.96435
83,images/social_media/7.png,68.25,#NAME?,news,a man in a black shirt standing in front of,What does the man look like?,An article about something notable that this person has accomplished,6.96435
84,images/science_journals/1.png,51.5,#NAME?,health,a building that has been destroyed,What kind of building?,Information about disaster preparedness and why it matters,6.96435
85,images/science_journals/1.png,51.5,#NAME?,health,a building that has been destroyed,Are there people present?,Information about disaster preparedness and why it matters,6.96435
86,images/travel/2.png,83.25,#NAME?,science_journals,a scuba diver in the ocean,What is the scuba diver doing?,Accompanying an article about coral reef exploration,6.96435
87,images/travel/2.png,83.25,#NAME?,science_journals,a scuba diver in the ocean,What else can be seen in the ocean?,Accompanying an article about coral reef exploration,6.96435
88,images/health/3.png,62.33333333,#NAME?,shopping,a woman in a pink sports bra top,What is the woman doing?,Selling workout or yoga clothing,6.96435
89,images/health/3.png,62.33333333,#NAME?,shopping,a woman in a pink sports bra top,What else is the woman wearing other than the sports bra top?,Selling workout or yoga clothing,6.96435
90,images/travel/5.png,53.16666667,#NAME?,social_media,a woman walking down a street with her suitcase,Is it an outdoor shopping area or an indoor shopping area?,This looks like an influencer making a travel/shopping video.,18.0972
91,images/travel/5.png,53.16666667,#NAME?,social_media,a woman walking down a street with her suitcase,Is the woman in travel clothes or business clothes?,This looks like an influencer making a travel/shopping video.,18.0972
92,images/social_media/7.png,68.25,#NAME?,news,a man in a black shirt standing in front of,What is the man standing in front of in the picture?,This man has helped with a new invention or new plan for space travel.,18.0972
93,images/social_media/7.png,68.25,#NAME?,news,a man in a black shirt standing in front of,Is the man old or young?,This man has helped with a new invention or new plan for space travel.,18.0972
94,images/news_journals/15.png,82,#NAME?,travel,a woman performing an indian dance,Is the woman performing on a stage?,A performer from a foreign country entertains a crowd.,18.0972
95,images/news_journals/15.png,82,#NAME?,travel,a woman performing an indian dance,Is the woman wearing some sort of costume related to the dance?,A performer from a foreign country entertains a crowd.,18.0972
96,images/shopping/6.png,61.42857143,#NAME?,shopping,a snowboarder standing on a snow covered hill,Is this an action shot or is the boarder standing still?,The male model is demonstrating some items that are for sale.,18.0972
97,images/shopping/6.png,61.42857143,#NAME?,shopping,a snowboarder standing on a snow covered hill,Are there any logos visible in the in the shot?,The male model is demonstrating some items that are for sale.,18.0972
98,images/science_journals/5.png,61.33333333,#NAME?,science_journals,people fishing in the river,Is the river a swift moving river or a slow moving lake like river?,The man is taking advantage of a salmon run to do some fishing.,18.0972
99,images/science_journals/5.png,61.33333333,#NAME?,science_journals,people fishing in the river,Are the fishermen net fishing or using rod and reel?,The man is taking advantage of a salmon run to do some fishing.,18.0972
100,images/health/4.png,80.11111111,#NAME?,health,a woman running in a race,Does the woman look experienced as a runner or is she more of a beginner?,A woman is running in a competitive race in a cross country type setting.,18.0972
101,images/health/4.png,80.11111111,#NAME?,health,a woman running in a race,Is this a well attended race or smaller in scale?,A woman is running in a competitive race in a cross country type setting.,18.0972
102,images/science_journals/2.png,59.33333333,#NAME?,social_media,a man and woman in wetsuits,What are they doing?,African american divers find something under water.,6.234833333
103,images/science_journals/2.png,59.33333333,#NAME?,social_media,a man and woman in wetsuits,What are their names,African american divers find something under water.,6.234833333
104,images/travel/4.png,90,#NAME?,travel,a skier on a mountain,Who is the skier,Skier is enjoying their vacation.,6.234833333
105,images/travel/4.png,90,#NAME?,travel,a skier on a mountain,Where is the mountain located,Skier is enjoying their vacation.,6.234833333
106,images/health/2.png,82,#NAME?,health,a woman running on a mountain,Who is the woman,To show a man hiking is very healthy of him,6.234833333
107,images/health/2.png,82,#NAME?,health,a woman running on a mountain,Why is he hiking,To show a man hiking is very healthy of him,6.234833333
108,images/social_media/7.png,16.5,#NAME?,social_media,a man in a black shirt standing in front of,What is the man standing in front of?,To show the comapny hires minorities,7.14015
109,images/social_media/7.png,16.5,#NAME?,social_media,a man in a black shirt standing in front of,What does the man look like?,To show the comapny hires minorities,7.14015
110,images/health/4.png,80.11111111,#NAME?,health,a woman running in a race,Is she doing well in the race?,To promote running as a healthy activity,7.14015
111,images/health/4.png,80.11111111,#NAME?,health,a woman running in a race,Is the woman physically fit?,To promote running as a healthy activity,7.14015
112,images/science_journals/1.png,48.5,#NAME?,science_journals,a building that has been destroyed,What country does the image take place in?,A collapsed building and piles of rubble,7.14015
113,images/science_journals/1.png,48.5,#NAME?,science_journals,a building that has been destroyed,What caused the destruction of the building?,A collapsed building and piles of rubble,7.14015
114,images/travel/4.png,90,#NAME?,travel,a skier on a mountain,Where is the mountain located?,To show an example of an activity you can do while traveling,7.14015
115,images/travel/4.png,90,#NAME?,travel,a skier on a mountain,What is the weather like in the photo?,To show an example of an activity you can do while traveling,7.14015
116,images/news_journals/4.png,32.6,#NAME?,news,a seal on the beach,Is there any significance to that seal specifically?,To give a visual to an article related to seals.,7.14015
117,images/news_journals/4.png,32.6,#NAME?,news,a seal on the beach,Are there any other animals on the beach?,To give a visual to an article related to seals.,7.14015
118,images/health/3.png,62.33333333,#NAME?,shopping,a woman in a pink sports bra top,What type of fabric is the top made of?,To show off a product avaliable for purchase,7.14015
119,images/health/3.png,62.33333333,#NAME?,shopping,a woman in a pink sports bra top,How revealing is the sports bra?,To show off a product avaliable for purchase,7.14015
120,images/shopping/7.png,59.2,#NAME?,social_media,a man wearing a white t - shirt,Is this person someone I know?,To show someone you might know or be connected with.,7.710316667
121,images/shopping/7.png,59.2,#NAME?,social_media,a man wearing a white t - shirt,Is this image on a list of search results?,To show someone you might know or be connected with.,7.710316667
122,images/shopping/6.png,78.14285714,#NAME?,travel,a snowboarder standing on a snow covered hill,Is it a man or a woman?,To show an image of a fun activity you can do.,7.710316667
123,images/shopping/6.png,78.14285714,#NAME?,travel,a snowboarder standing on a snow covered hill,Is it an adult or a child or teenager,To show an image of a fun activity you can do.,7.710316667
124,images/health/3.png,95.33333333,#NAME?,health,a woman in a pink sports bra top,What is the woman doing?,To show that healthy people also look attractive.,7.710316667
125,images/health/3.png,95.33333333,#NAME?,health,a woman in a pink sports bra top,What is she an example of?,To show that healthy people also look attractive.,7.710316667
126,images/science_journals/6.png,9.666666667,#NAME?,science_journals,a group of men standing in front of a wall,what age of men are they?,This site might be describing something related to male gender.,7.710316667
127,images/science_journals/6.png,9.666666667,#NAME?,science_journals,a group of men standing in front of a wall,"what do they have in common, or not?",This site might be describing something related to male gender.,7.710316667
128,images/shopping/3.png,31,#NAME?,shopping,a man with a beard sitting on a rock near,Sitting on a rock near what?,To show someone wearing a sweater you can buy here.,7.710316667
129,images/shopping/3.png,31,#NAME?,shopping,a man with a beard sitting on a rock near,is there anything else the man is doing in addition to sitting?,To show someone wearing a sweater you can buy here.,7.710316667
130,images/news_journals/4.png,32.6,#NAME?,news,a seal on the beach,"Is it a young seal, like a pup? or an older one?",There is a news article about baby seals.,7.710316667
131,images/news_journals/4.png,32.6,#NAME?,news,a seal on the beach,Does it look healthy?,There is a news article about baby seals.,7.710316667
132,images/social_media/7.png,68.25,#NAME?,news,a man in a black shirt standing in front of,In front of what?,An article about NASA and a mission to Mars,9.715916667
133,images/social_media/7.png,68.25,#NAME?,news,a man in a black shirt standing in front of,Why is the black shirt relevant?,An article about NASA and a mission to Mars,9.715916667
134,images/health/2.png,60,#NAME?,science_journals,a woman running on a mountain,"What kind of mountain? Desert, forest?",This is a scientist doing research here. ,9.715916667
135,images/health/2.png,60,#NAME?,science_journals,a woman running on a mountain,Why is she running?,This is a scientist doing research here. ,9.715916667
136,images/travel/5.png,94.5,#NAME?,travel,a woman walking down a street with her suitcase,Why is she walking with her suitcase?,She is in an airport on her way to or from a flight. And she's dressed well. ,9.715916667
137,images/travel/5.png,94.5,#NAME?,travel,a woman walking down a street with her suitcase,Where is she going?,She is in an airport on her way to or from a flight. And she's dressed well. ,9.715916667
138,images/social_media/1.png,68,#NAME?,social_media,a man with dreadlocks wearing a jacket and pants,Is he wearing a shirt?,He is promoting something of a brand,9.715916667
139,images/social_media/1.png,68,#NAME?,social_media,a man with dreadlocks wearing a jacket and pants,What are the brands?,He is promoting something of a brand,9.715916667
140,images/news_journals/15.png,52.66666667,#NAME?,shopping,a woman performing an indian dance,Is she selling tickets to the dance?,It can be for a show of experience ,9.715916667
141,images/news_journals/15.png,52.66666667,#NAME?,shopping,a woman performing an indian dance,Where is the location?,It can be for a show of experience ,9.715916667
142,images/science_journals/4.png,57.33333333,#NAME?,science_journals,a boat with a crab in it,How large is the boat?,To talk about recent discoveries relating ocean pollution to aquatic wildlife.,15.17211667
143,images/science_journals/4.png,57.33333333,#NAME?,science_journals,a boat with a crab in it,Where is the crab on the boat?,To talk about recent discoveries relating ocean pollution to aquatic wildlife.,15.17211667
144,images/shopping/1.png,100,#NAME?,shopping,a bedroom with a bed and curtains,What kind of curtains?,It is an advertisement for a cloth divider. ,15.17211667
145,images/shopping/1.png,100,#NAME?,shopping,a bedroom with a bed and curtains,Where are the curtains in relation to the bed?,It is an advertisement for a cloth divider. ,15.17211667
146,images/news_journals/25.png,36.25,#NAME?,news,a group of people sitting at a table,Where are the people positioned?,To highlight a story about a gathering of people.,15.17211667
147,images/news_journals/25.png,36.25,#NAME?,news,a group of people sitting at a table,Where is the table?,To highlight a story about a gathering of people.,15.17211667
148,images/travel/2.png,86.75,#NAME?,travel,a scuba diver in the ocean,What is the diver looking at? ,It is an advertisement for scuba diving. ,15.17211667
149,images/travel/2.png,86.75,#NAME?,travel,a scuba diver in the ocean,What does the diver look like? ,It is an advertisement for scuba diving. ,15.17211667
150,images/shopping/4.png,50.75,#NAME?,social_media,the pool at the holiday inn in san diego,Is there foliage around?,To show a location that people might want to take pictures of. ,15.17211667
151,images/shopping/4.png,50.75,#NAME?,social_media,the pool at the holiday inn in san diego,What time of day? ,To show a location that people might want to take pictures of. ,15.17211667
152,images/science_journals/1.png,51.5,#NAME?,health,a building that has been destroyed,Are there people around?,To highlight the health issues that might arise from bad infrastructure. ,15.17211667
153,images/science_journals/1.png,51.5,#NAME?,health,a building that has been destroyed,Are there other buildings around? ,To highlight the health issues that might arise from bad infrastructure. ,15.17211667
154,images/travel/6.png,49.6,#NAME?,travel,a bowl of noodles with vegetables,What type of noodles are shown?,"This is a local dish not seen in most other places,",14.6573
155,images/travel/6.png,49.6,#NAME?,travel,a bowl of noodles with vegetables,What kind of vegetables are shown?,"This is a local dish not seen in most other places,",14.6573
156,images/social_media/5.png,54.125,#NAME?,social_media,the women's soccer team,How large is the group of people?,"It contains a person who is proud to be graduating, and posted the image on their social media.",14.6573
157,images/social_media/5.png,54.125,#NAME?,social_media,the women's soccer team,What color robes are they wearing?,"It contains a person who is proud to be graduating, and posted the image on their social media.",14.6573
158,images/travel/7.png,58.5,#NAME?,news,a woman taking a picture of a narrow alley,"Is the alley walled on both sides, or is there trash or anything else lining the walls?",The image shows information related to a news story.,14.6573
159,images/travel/7.png,58.5,#NAME?,news,a woman taking a picture of a narrow alley,Is the woman taking a picture with a traditional camera or with her phone/tablet?,The image shows information related to a news story.,14.6573
160,images/health/6.png,93,#NAME?,health,various foods that are in bowls,What kind of foods are in the bowls?,The image represents a healthy balanced diet.,14.6573
161,images/health/6.png,93,#NAME?,health,various foods that are in bowls,What fruits and/or vegetables are also placed with the bowls?,The image represents a healthy balanced diet.,14.6573
162,images/science_journals/5.png,61.33333333,#NAME?,science_journals,people fishing in the river,Are the people in the river or next to the river?,The image might have something to do with endangered fish.,14.6573
163,images/science_journals/5.png,61.33333333,#NAME?,science_journals,people fishing in the river,What kind of fish are the fishermen holding?,The image might have something to do with endangered fish.,14.6573
164,images/news_journals/15.png,52.66666667,#NAME?,shopping,a woman performing an indian dance,What kind of Indian dance is the woman performing?,The image highlights an experience for sale.,14.6573
165,images/news_journals/15.png,52.66666667,#NAME?,shopping,a woman performing an indian dance,Is she dressed in traditional Indian dancing attire?,The image highlights an experience for sale.,14.6573
166,images/news_journals/15.png,32,#NAME?,news,a woman performing an indian dance,Where is she performing?,Looks like there might be an article on an art show or something of the sort.,14.65805
167,images/news_journals/15.png,32,#NAME?,news,a woman performing an indian dance,Why is she performing?,Looks like there might be an article on an art show or something of the sort.,14.65805
168,images/social_media/1.png,68,#NAME?,social_media,a man with dreadlocks wearing a jacket and pants,Why is there a young person leaning against a wall?,A picture of a young person might attract other young people.,14.65805
,,,,,,,,
170,images/health/2.png,82,#NAME?,health,a woman running on a mountain,What mountain range are they running on or near?,"There is a guy hiking or climbing a mountain / hill, it would make sense for the website to depict someone doing something physical. ",14.65805
171,images/health/2.png,82,#NAME?,health,a woman running on a mountain,"How cold is it, where they are running?","There is a guy hiking or climbing a mountain / hill, it would make sense for the website to depict someone doing something physical. ",14.65805
172,images/science_journals/7.png,3.5,#NAME?,science_journals,a street sign that says the olde street,Why is this single house shown here?,Maybe this article is about the environment and how suburbs affect the environment.,14.65805
173,images/science_journals/7.png,3.5,#NAME?,science_journals,a street sign that says the olde street,What is the special meaning behind this house?,Maybe this article is about the environment and how suburbs affect the environment.,14.65805
174,images/science_journals/5.png,87.5,#NAME?,travel,people fishing in the river,Where is this big river loacted?,this picture is probably shown because this is a good fishing spot people may want to travel to.,14.65805
175,images/science_journals/5.png,87.5,#NAME?,travel,people fishing in the river,IS it hard to get to this area?,this picture is probably shown because this is a good fishing spot people may want to travel to.,14.65805
176,images/shopping/2.png,43,#NAME?,shopping,a man wearing a sweater,"Is this man a model, or a scholar?",This guy looks well dress so maybe this shopping website is selling clothes?,14.65805
